,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr_init,lstm_unit1,lstm_unit2,Objective
95,48,COMPLETED,1,128.0,398.0,484.0,0.0022925871665727044,162.0,223.0,0.9992644424023835
96,49,INTERMEDIATE,1,256.0,425.0,278.0,0.0049491951075607485,129.0,214.0,0.9433888870736827
97,49,COMPLETED,1,256.0,425.0,278.0,0.0049491951075607485,129.0,214.0,0.9433888870736827
98,50,INTERMEDIATE,1,64.0,310.0,506.0,0.0024329238046196197,109.0,30.0,0.9710065748380579
99,50,COMPLETED,1,64.0,310.0,506.0,0.0024329238046196197,109.0,30.0,0.9710065748380579
100,51,INTERMEDIATE,1,128.0,283.0,310.0,0.0026425094917878816,237.0,77.0,0.9927335303762684
101,51,COMPLETED,1,128.0,283.0,310.0,0.0026425094917878816,237.0,77.0,0.9927335303762684
102,52,INTERMEDIATE,1,64.0,297.0,470.0,0.003974775690232679,241.0,40.0,0.7236725791640903
103,52,COMPLETED,1,64.0,297.0,470.0,0.003974775690232679,241.0,40.0,0.7236725791640903
104,53,INTERMEDIATE,1,64.0,370.0,376.0,0.0032653258937977107,106.0,245.0,0.8152992025665615
105,53,COMPLETED,1,64.0,370.0,376.0,0.0032653258937977107,106.0,245.0,0.8152992025665615
106,54,INTERMEDIATE,1,128.0,309.0,418.0,0.002248895502281238,81.0,236.0,0.9548639266387277
107,54,COMPLETED,1,128.0,309.0,418.0,0.002248895502281238,81.0,236.0,0.9548639266387277
108,55,INTERMEDIATE,1,256.0,274.0,466.0,0.002325577168121963,214.0,69.0,0.9377654376237289
109,55,COMPLETED,1,256.0,274.0,466.0,0.002325577168121963,214.0,69.0,0.9377654376237289
110,56,INTERMEDIATE,1,256.0,293.0,485.0,0.004414320481904808,236.0,44.0,0.9307124666545702
111,56,COMPLETED,1,256.0,293.0,485.0,0.004414320481904808,236.0,44.0,0.9307124666545702
112,57,INTERMEDIATE,1,64.0,294.0,416.0,0.0005,20.0,145.0,0.8808516937753429
113,57,COMPLETED,1,64.0,294.0,416.0,0.0005,20.0,145.0,0.8808516937753429
114,58,INTERMEDIATE,1,256.0,512.0,278.0,0.005,159.0,154.0,0.946489691734314
115,58,COMPLETED,1,256.0,512.0,278.0,0.005,159.0,154.0,0.946489691734314
