,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,hidden_unit3,lr_init,lstm_unit,Objective
132,67,INTERMEDIATE,1,256.0,307.0,429.0,348.0,0.0012543816807665032,151.0,0.977472072062285
133,67,COMPLETED,1,256.0,307.0,429.0,348.0,0.0012543816807665032,151.0,0.977472072062285
134,68,INTERMEDIATE,1,64.0,301.0,431.0,462.0,0.003071794200347448,116.0,0.7595469925714575
135,68,COMPLETED,1,64.0,301.0,431.0,462.0,0.003071794200347448,116.0,0.7595469925714575
136,69,INTERMEDIATE,1,256.0,495.0,461.0,504.0,0.0008615342501922375,64.0,0.964446555013242
137,69,COMPLETED,1,256.0,495.0,461.0,504.0,0.0008615342501922375,64.0,0.964446555013242
138,70,INTERMEDIATE,1,128.0,351.0,512.0,347.0,0.004903923321722722,103.0,0.8359061349993167
139,70,COMPLETED,1,128.0,351.0,512.0,347.0,0.004903923321722722,103.0,0.8359061349993167
140,71,INTERMEDIATE,1,128.0,388.0,418.0,408.0,0.003946036088468311,125.0,0.8682812193165654
141,71,COMPLETED,1,128.0,388.0,418.0,408.0,0.003946036088468311,125.0,0.8682812193165654
142,72,INTERMEDIATE,1,256.0,461.0,262.0,498.0,0.0013701630642755152,113.0,0.9895091989765996
143,72,COMPLETED,1,256.0,461.0,262.0,498.0,0.0013701630642755152,113.0,0.9895091989765996
144,73,INTERMEDIATE,1,128.0,341.0,476.0,380.0,0.0031374860751516537,71.0,0.9372922648554263
145,73,COMPLETED,1,128.0,341.0,476.0,380.0,0.0031374860751516537,71.0,0.9372922648554263
146,74,INTERMEDIATE,1,64.0,271.0,378.0,449.0,0.0045941927503710955,35.0,0.8133012108180834
147,74,COMPLETED,1,64.0,271.0,378.0,449.0,0.0045941927503710955,35.0,0.8133012108180834
148,75,INTERMEDIATE,1,64.0,264.0,265.0,385.0,0.0033102906393248387,31.0,0.9546092126680457
149,75,COMPLETED,1,64.0,264.0,265.0,385.0,0.0033102906393248387,31.0,0.9546092126680457
150,76,INTERMEDIATE,1,64.0,384.0,409.0,258.0,0.003633370317301453,47.0,0.9726576390473739
151,76,COMPLETED,1,64.0,384.0,409.0,258.0,0.003633370317301453,47.0,0.9726576390473739
