,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr_init,lstm_unit,Objective
129,65,COMPLETED,1,64.0,256.0,347.0,0.0015390740539713665,230.0,1.0001610031834356
130,66,INTERMEDIATE,1,128.0,332.0,506.0,0.003755737643449633,202.0,0.9311567809846666
131,66,COMPLETED,1,128.0,332.0,506.0,0.003755737643449633,202.0,0.9311567809846666
132,67,INTERMEDIATE,1,256.0,353.0,329.0,0.0014391977548455165,233.0,0.9330385614324499
133,67,COMPLETED,1,256.0,353.0,329.0,0.0014391977548455165,233.0,0.9330385614324499
134,68,INTERMEDIATE,1,128.0,400.0,398.0,0.0013339661222913014,22.0,0.9091236458884345
135,68,COMPLETED,1,128.0,400.0,398.0,0.0013339661222913014,22.0,0.9091236458884345
136,69,INTERMEDIATE,1,64.0,331.0,507.0,0.0022544742577054787,207.0,0.8057075253239384
137,69,COMPLETED,1,64.0,331.0,507.0,0.0022544742577054787,207.0,0.8057075253239384
138,70,INTERMEDIATE,1,64.0,266.0,344.0,0.001584655504265623,199.0,0.8291460275650024
139,70,COMPLETED,1,64.0,266.0,344.0,0.001584655504265623,199.0,0.8291460275650024
140,71,INTERMEDIATE,1,64.0,270.0,342.0,0.0018625088671822307,194.0,0.6614959924309342
141,71,COMPLETED,1,64.0,270.0,342.0,0.0018625088671822307,194.0,0.6614959924309342
142,72,INTERMEDIATE,1,64.0,266.0,343.0,0.0017804346692571248,196.0,0.8466678504590635
143,72,COMPLETED,1,64.0,266.0,343.0,0.0017804346692571248,196.0,0.8466678504590635
144,73,INTERMEDIATE,1,64.0,266.0,343.0,0.0018009633900559457,195.0,0.8633877480471576
145,73,COMPLETED,1,64.0,266.0,343.0,0.0018009633900559457,195.0,0.8633877480471576
146,74,INTERMEDIATE,1,128.0,334.0,492.0,0.004725114855888758,198.0,0.9508971638149686
147,74,COMPLETED,1,128.0,334.0,492.0,0.004725114855888758,198.0,0.9508971638149686
148,75,INTERMEDIATE,1,64.0,267.0,343.0,0.0018181923334066223,196.0,0.8417619466781616
149,75,COMPLETED,1,64.0,267.0,343.0,0.0018181923334066223,196.0,0.8417619466781616
150,76,INTERMEDIATE,1,64.0,267.0,343.0,0.001824127960411284,196.0,0.8403659794065688
151,76,COMPLETED,1,64.0,267.0,343.0,0.001824127960411284,196.0,0.8403659794065688
152,77,INTERMEDIATE,1,64.0,332.0,509.0,0.003064762462733545,205.0,0.8103987817411069
153,77,COMPLETED,1,64.0,332.0,509.0,0.003064762462733545,205.0,0.8103987817411069
154,78,INTERMEDIATE,1,64.0,332.0,509.0,0.003068732132175599,205.0,0.8237833623532895
155,78,COMPLETED,1,64.0,332.0,509.0,0.003068732132175599,205.0,0.8237833623532895
156,79,INTERMEDIATE,1,64.0,270.0,342.0,0.0018538510148819658,194.0,0.8529898899572866
157,79,COMPLETED,1,64.0,270.0,342.0,0.0018538510148819658,194.0,0.8529898899572866
158,80,INTERMEDIATE,1,64.0,332.0,509.0,0.003063148246636578,205.0,0.8560412504054882
159,80,COMPLETED,1,64.0,332.0,509.0,0.003063148246636578,205.0,0.8560412504054882
160,81,INTERMEDIATE,1,64.0,270.0,342.0,0.0018564962215247439,194.0,0.811333007282681
161,81,COMPLETED,1,64.0,270.0,342.0,0.0018564962215247439,194.0,0.811333007282681
162,82,INTERMEDIATE,1,64.0,266.0,344.0,0.0015799362122586335,199.0,0.8756001083939163
163,82,COMPLETED,1,64.0,266.0,344.0,0.0015799362122586335,199.0,0.8756001083939163
164,83,INTERMEDIATE,1,64.0,267.0,342.0,0.0019318238325329844,195.0,0.7757333208013464
165,83,COMPLETED,1,64.0,267.0,342.0,0.0019318238325329844,195.0,0.7757333208013464
166,84,INTERMEDIATE,1,64.0,267.0,342.0,0.001961762841407786,194.0,0.8387015042481599
167,84,COMPLETED,1,64.0,267.0,342.0,0.001961762841407786,194.0,0.8387015042481599
168,85,INTERMEDIATE,1,64.0,267.0,342.0,0.0019539398647035974,194.0,0.876045099011174
169,85,COMPLETED,1,64.0,267.0,342.0,0.0019539398647035974,194.0,0.876045099011174
170,86,INTERMEDIATE,1,64.0,267.0,342.0,0.001915437305839382,195.0,0.7421710049664533
171,86,COMPLETED,1,64.0,267.0,342.0,0.001915437305839382,195.0,0.7421710049664533
172,87,INTERMEDIATE,1,64.0,266.0,342.0,0.001940013491742612,195.0,0.8234008285734389
173,87,COMPLETED,1,64.0,266.0,342.0,0.001940013491742612,195.0,0.8234008285734389
174,88,INTERMEDIATE,1,64.0,266.0,342.0,0.0019427176447217604,195.0,0.804967220182772
175,88,COMPLETED,1,64.0,266.0,342.0,0.0019427176447217604,195.0,0.804967220182772
176,89,INTERMEDIATE,1,64.0,266.0,342.0,0.0019561760201242495,194.0,0.8446154241208677
177,89,COMPLETED,1,64.0,266.0,342.0,0.0019561760201242495,194.0,0.8446154241208677
178,90,INTERMEDIATE,1,64.0,266.0,342.0,0.0019446979477614871,194.0,0.858449622436806
179,90,COMPLETED,1,64.0,266.0,342.0,0.0019446979477614871,194.0,0.858449622436806
180,91,INTERMEDIATE,1,64.0,266.0,342.0,0.0019280651564976949,194.0,0.7944177698206019
181,91,COMPLETED,1,64.0,266.0,342.0,0.0019280651564976949,194.0,0.7944177698206019
182,92,INTERMEDIATE,1,64.0,256.0,331.0,0.0016802255142056215,188.0,0.7648432298942849
183,92,COMPLETED,1,64.0,256.0,331.0,0.0016802255142056215,188.0,0.7648432298942849
184,93,INTERMEDIATE,1,64.0,256.0,326.0,0.0014923433199055135,186.0,0.8456941975487603
185,93,COMPLETED,1,64.0,256.0,326.0,0.0014923433199055135,186.0,0.8456941975487603
186,94,INTERMEDIATE,1,64.0,256.0,329.0,0.001607637489890731,187.0,0.8528631969734475
187,94,COMPLETED,1,64.0,256.0,329.0,0.001607637489890731,187.0,0.8528631969734475
188,95,INTERMEDIATE,1,64.0,256.0,331.0,0.0016704197301351882,188.0,0.7987526522742378
189,95,COMPLETED,1,64.0,256.0,331.0,0.0016704197301351882,188.0,0.7987526522742378
190,96,INTERMEDIATE,1,64.0,256.0,329.0,0.0016355194570795001,187.0,0.83143358318894
191,96,COMPLETED,1,64.0,256.0,329.0,0.0016355194570795001,187.0,0.83143358318894
192,97,INTERMEDIATE,1,64.0,256.0,330.0,0.001637843014245473,188.0,0.8499897983339098
193,97,COMPLETED,1,64.0,256.0,330.0,0.001637843014245473,188.0,0.8499897983339098
194,98,INTERMEDIATE,1,64.0,256.0,332.0,0.0017134401204747353,189.0,0.7956924350173386
195,98,COMPLETED,1,64.0,256.0,332.0,0.0017134401204747353,189.0,0.7956924350173386
196,99,INTERMEDIATE,1,64.0,256.0,330.0,0.0016686167136745306,188.0,0.864023557415715
197,99,COMPLETED,1,64.0,256.0,330.0,0.0016686167136745306,188.0,0.864023557415715
198,100,INTERMEDIATE,1,64.0,256.0,333.0,0.0017759864273757982,189.0,0.8393407817240115
199,100,COMPLETED,1,64.0,256.0,333.0,0.0017759864273757982,189.0,0.8393407817240115
